bookName,author,email,id,authorUrl,pmUrl,bookUrl,followerCount,pageCount,viewCount,chaptersCount,lastUpdateDate,dataCollectionDate,actionPlanned
Torn Reality,Opal,,32437,https://www.royalroad.com/profile/165318,https://www.royalroad.com/private/send/165318,https://www.royalroad.com/fiction/32437/torn-reality,1,10,41,2,MAY302020,15 Jun 2020 13:52:32 GMT,
A Slice of Shadow,English Infidel,,33229,https://www.royalroad.com/profile/169811,https://www.royalroad.com/private/send/169811,https://www.royalroad.com/fiction/33229/a-slice-of-shadow,1,10,14,1,JUNE112020,15 Jun 2020 13:52:32 GMT,
When worlds collide.,Jhaden,,32716,https://www.royalroad.com/profile/167280,https://www.royalroad.com/private/send/167280,https://www.royalroad.com/fiction/32716/when-worlds-collide,1,9,51,2,MAY252020,15 Jun 2020 13:52:32 GMT,
Bizzare travels,Shadow Dog,,33047,https://www.royalroad.com/profile/169085,https://www.royalroad.com/private/send/169085,https://www.royalroad.com/fiction/33047/bizzare-travels,1,9,39,1,JUNE042020,15 Jun 2020 13:52:32 GMT,
Tale of Painpin and Inid,MadCatchingBad,,32397,https://www.royalroad.com/profile/164934,https://www.royalroad.com/private/send/164934,https://www.royalroad.com/fiction/32397/tale-of-painpin-and-inid,1,9,197,4,MAY142020,15 Jun 2020 13:52:32 GMT,
When It's Time To End,Quillfeet,,32621,https://www.royalroad.com/profile/157116,https://www.royalroad.com/private/send/157116,https://www.royalroad.com/fiction/32621/when-its-time-to-end,1,9,18,1,MAY192020,15 Jun 2020 13:52:32 GMT,
Linked Darkness,Montgomery_Mills,,33096,https://www.royalroad.com/profile/143124,https://www.royalroad.com/private/send/143124,https://www.royalroad.com/fiction/33096/linked-darkness,1,8,8,1,JUNE072020,15 Jun 2020 13:52:32 GMT,
The Swordsman's Blade,KTBacon,,32119,https://www.royalroad.com/profile/107805,https://www.royalroad.com/private/send/107805,https://www.royalroad.com/fiction/32119/the-swordsmans-blade,1,8,75,2,MAY142020,15 Jun 2020 13:52:32 GMT,
Into the inferno,queenofallshades,,31147,https://www.royalroad.com/profile/158186,https://www.royalroad.com/private/send/158186,https://www.royalroad.com/fiction/31147/into-the-inferno,1,7,65,2,MAY272020,15 Jun 2020 13:52:32 GMT,
Grandpa Ying,San Tiaoxian,,33078,https://www.royalroad.com/profile/149304,https://www.royalroad.com/private/send/149304,https://www.royalroad.com/fiction/33078/grandpa-ying,1,7,109,2,JUNE092020,15 Jun 2020 13:52:32 GMT,
New Beginnings (working title),JTtheFool,,31937,https://www.royalroad.com/profile/162349,https://www.royalroad.com/private/send/162349,https://www.royalroad.com/fiction/31937/new-beginnings-working-title,1,7,105,2,MAY202020,15 Jun 2020 13:52:32 GMT,
The Life of the Silver Princess,Feirut,,32557,https://www.royalroad.com/profile/66211,https://www.royalroad.com/private/send/66211,https://www.royalroad.com/fiction/32557/the-life-of-the-silver-princess,1,7,32,1,MAY172020,15 Jun 2020 13:52:32 GMT,
The Law,Reidth Fox,,29520,https://www.royalroad.com/profile/125874,https://www.royalroad.com/private/send/125874,https://www.royalroad.com/fiction/29520/the-law,1,7,78,2,MAY182020,15 Jun 2020 13:52:32 GMT,
On the Brink,RabidRabbit,,32346,https://www.royalroad.com/profile/162329,https://www.royalroad.com/private/send/162329,https://www.royalroad.com/fiction/32346/on-the-brink,1,22,54,2,MAY102020,15 Jun 2020 13:52:32 GMT,
Galaxy Wars: The Legacy of Light and Darkness,Ranmaro,,33144,https://www.royalroad.com/profile/153991,https://www.royalroad.com/private/send/153991,https://www.royalroad.com/fiction/33144/galaxy-wars-the-legacy-of-light-and-darkness,1,21,103,5,JUNE082020,15 Jun 2020 13:52:32 GMT,
Heartless,SoulinxTBA,,33167,https://www.royalroad.com/profile/169507,https://www.royalroad.com/private/send/169507,https://www.royalroad.com/fiction/33167/heartless,1,24,176,7,JUNE142020,15 Jun 2020 13:52:32 GMT,
Tales From Mirthland: Rorik's Quest,NicholasDuval,,32832,https://www.royalroad.com/profile/154893,https://www.royalroad.com/private/send/154893,https://www.royalroad.com/fiction/32832/tales-from-mirthland-roriks-quest,1,20,180,3,JUNE122020,15 Jun 2020 13:52:32 GMT,
Dark Lady of Dorcha Coille,CaffeinatedLady,,32335,https://www.royalroad.com/profile/164746,https://www.royalroad.com/private/send/164746,https://www.royalroad.com/fiction/32335/dark-lady-of-dorcha-coille,1,19,73,2,MAY262020,15 Jun 2020 13:52:32 GMT,
Black Peach Blossom,This Venerable One,,31716,https://www.royalroad.com/profile/152358,https://www.royalroad.com/private/send/152358,https://www.royalroad.com/fiction/31716/black-peach-blossom,1,18,176,4,MAY222020,15 Jun 2020 13:52:32 GMT,
Mysterious Merchant,EliGrim,,32148,https://www.royalroad.com/profile/81905,https://www.royalroad.com/private/send/81905,https://www.royalroad.com/fiction/32148/mysterious-merchant,1,18,64,3,MAY222020,15 Jun 2020 13:52:32 GMT,
Humans Remain Wicked,noirsilkx,,32944,https://www.royalroad.com/profile/168418,https://www.royalroad.com/private/send/168418,https://www.royalroad.com/fiction/32944/humans-remain-wicked,1,17,64,3,JUNE132020,15 Jun 2020 13:52:32 GMT,
